XLoc,YLoc,row,column,well
0,0,A,1,A01
0,1,A,2,A02
0,2,A,3,A03
0,3,A,4,A04
0,4,A,5,A05
0,5,A,6,A06
0,6,A,7,A07
0,7,A,8,A08
0,8,A,9,A09
0,9,A,10,A10
1,9,B,10,B10
1,8,B,9,B09
1,7,B,8,B08
1,6,B,7,B07
1,5,B,6,B06
1,4,B,5,B05
1,3,B,4,B04
1,2,B,3,B03
1,1,B,2,B02
1,0,B,1,B01
2,0,C,1,C01
2,1,C,2,C02
2,2,C,3,C03
2,3,C,4,C04
2,4,C,5,C05
2,5,C,6,C06
2,6,C,7,C07
2,7,C,8,C08
2,8,C,9,C09
2,9,C,10,C10
3,9,D,10,D10
3,8,D,9,D09
3,7,D,8,D08
3,6,D,7,D07
3,5,D,6,D06
3,4,D,5,D05
3,3,D,4,D04
3,2,D,3,D03
3,1,D,2,D02
3,0,D,1,D01
4,0,E,1,E01
4,1,E,2,E02
4,2,E,3,E03
4,3,E,4,E04
4,4,E,5,E05
4,5,E,6,E06
4,6,E,7,E07
4,7,E,8,E08
4,8,E,9,E09
4,9,E,10,E10
5,9,F,10,F10
5,8,F,9,F09
5,7,F,8,F08
5,6,F,7,F07
5,5,F,6,F06
5,4,F,5,F05
5,3,F,4,F04
5,2,F,3,F03
5,1,F,2,F02
5,0,F,1,F01
6,0,G,1,G01
6,1,G,2,G02
6,2,G,3,G03
6,3,G,4,G04
6,4,G,5,G05
6,5,G,6,G06
6,6,G,7,G07
6,7,G,8,G08
6,8,G,9,G09
6,9,G,10,G10
7,9,H,10,H10
7,8,H,9,H09
7,7,H,8,H08
7,6,H,7,H07
7,5,H,6,H06
7,4,H,5,H05
7,3,H,4,H04
7,2,H,3,H03
7,1,H,2,H02
7,0,H,1,H01
